GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GMavenPlus Plugin,org.codehaus.gmavenplus.model,Link,0,25,0,0,0,9,0,5,0,5
GMavenPlus Plugin,org.codehaus.gmavenplus.model,IncludeClasspath,0,34,0,0,0,4,0,1,0,1
GMavenPlus Plugin,org.codehaus.gmavenplus.model,Scopes,0,44,0,0,0,5,0,1,0,1
GMavenPlus Plugin,org.codehaus.gmavenplus.util,ReflectionUtils,81,404,21,63,13,73,17,36,0,11
GMavenPlus Plugin,org.codehaus.gmavenplus.util,ClassWrangler,108,237,19,23,25,54,16,19,2,12
GMavenPlus Plugin,org.codehaus.gmavenplus.util,NoExitSecurityManager,9,14,1,1,2,7,2,3,1,3
GMavenPlus Plugin,org.codehaus.gmavenplus.util,FileUtils,13,62,6,6,6,22,6,8,0,8
GMavenPlus Plugin,org.codehaus.gmavenplus.model.internal,Version,6,366,7,49,2,87,7,39,0,18
GMavenPlus Plugin,org.codehaus.gmavenplus.groovyworkarounds,GroovyDocTemplateInfo,0,641,0,14,0,25,0,12,0,5
GMavenPlus Plugin,org.codehaus.gmavenplus.groovyworkarounds,DotGroovyFile,0,84,2,4,0,17,2,9,0,8
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractGroovyMojo,95,144,12,10,13,24,10,16,2,13
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,ConsoleMojo,552,0,40,0,100,0,26,0,6,0
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,RemoveStubsMojo,0,12,0,0,0,3,0,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractToolsMojo,51,180,9,41,13,31,9,19,1,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AddTestSourcesMojo,11,43,1,5,1,8,1,5,0,3
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GroovyDocJarMojo,183,0,16,0,36,0,11,0,3,0
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,ShellMojo,376,0,20,0,53,0,14,0,4,0
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractCompileMojo,966,460,82,66,101,52,45,35,3,3
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GenerateStubsMojo,18,93,1,1,3,22,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,ExecuteMojo,207,357,18,18,35,64,15,10,0,7
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractGroovyDocMojo,920,344,104,22,123,55,65,7,4,5
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AddSourcesMojo,11,43,1,5,1,8,1,5,0,3
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AddStubSourcesMojo,15,14,1,1,1,4,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractGroovyStubSourcesMojo,14,39,1,1,1,8,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,CompileMojo,18,74,1,1,3,18,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GroovyDocTestsMojo,18,75,1,1,3,18,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GroovyDocTestsJarMojo,183,0,16,0,36,0,11,0,3,0
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AddTestStubSourcesMojo,15,17,1,3,1,5,1,3,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GroovyDocMojo,18,75,1,1,3,18,1,2,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,CompileTestsMojo,18,81,1,3,3,20,1,3,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractGroovySourcesMojo,142,199,8,12,24,31,6,9,0,5
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,AbstractGenerateStubsMojo,503,466,40,66,56,56,27,35,4,5
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,RemoveTestStubsMojo,0,15,0,2,0,4,0,3,0,2
GMavenPlus Plugin,org.codehaus.gmavenplus.mojo,GenerateTestStubsMojo,18,100,1,3,3,24,1,3,0,2
